ano,id_municipio,tipo_domicilio,grupo_idade,cor_raca,moradores
2022,2913606,Habitação indígena sem paredes ou maloca,60 a 64 anos,Amarela,
2022,2913606,Habitação indígena sem paredes ou maloca,100 anos ou mais,Amarela,
2022,2913606,Habitação indígena sem paredes ou maloca,55 a 59 anos,Parda,
2022,2913606,Habitação indígena sem paredes ou maloca,35 a 39 anos,Preta,
2022,2913606,Habitação indígena sem paredes ou maloca,55 a 59 anos,Indígena,
2022,2913606,Habitação indígena sem paredes ou maloca,45 a 49 anos,Preta,
2022,2913606,Habitação indígena sem paredes ou maloca,20 a 24 anos,Parda,
2022,2913606,Habitação indígena sem paredes ou maloca,10 a 14 anos,Indígena,
2022,2913606,Habitação indígena sem paredes ou maloca,95 a 99 anos,Parda,
2022,2913606,Habitação indígena sem paredes ou maloca,25 a 29 anos,Parda,
2022,2913606,Habitação indígena sem paredes ou maloca,65 a 69 anos,Amarela,
2022,2913606,Habitação indígena sem paredes ou maloca,5 a 9 anos,Indígena,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,40 a 44 anos,Preta,1
2022,2913606,Estrutura residencial permanente degradada ou inacabada,50 a 54 anos,Amarela,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,50 a 54 anos,Branca,1
2022,2913606,Estrutura residencial permanente degradada ou inacabada,55 a 59 anos,Amarela,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,60 a 64 anos,Parda,2
2022,2913606,Estrutura residencial permanente degradada ou inacabada,55 a 59 anos,Indígena,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,95 a 99 anos,Parda,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,75 a 79 anos,Indígena,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,15 a 19 anos,Parda,1
2022,2913606,Estrutura residencial permanente degradada ou inacabada,30 a 34 anos,Indígena,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,0 a 4 anos,Branca,1
2022,2913606,Casa,95 a 99 anos,Indígena,6
2022,2913606,Casa,30 a 34 anos,Preta,2693
2022,2913606,Casa,70 a 74 anos,Branca,862
2022,2913606,Casa,5 a 9 anos,Amarela,14
2022,2913606,Casa,90 a 94 anos,Preta,83
2022,2913606,Casa,85 a 89 anos,Branca,257
2022,2913606,Casa,25 a 29 anos,Preta,2802
2022,2913606,Casa,80 a 84 anos,Parda,999
2022,2913606,Casa,40 a 44 anos,Indígena,545
2022,2913606,Casa,25 a 29 anos,Amarela,14
2022,2913606,Casa,5 a 9 anos,Preta,1890
2022,2913606,Apartamento,55 a 59 anos,Amarela,6
2022,2913606,Apartamento,100 anos ou mais,Branca,2
2022,2913606,Apartamento,80 a 84 anos,Amarela,1
2022,2913606,Apartamento,80 a 84 anos,Parda,95
2022,2913606,Apartamento,95 a 99 anos,Amarela,
2022,2913606,Apartamento,70 a 74 anos,Parda,252
2022,2913606,Apartamento,65 a 69 anos,Branca,275
2022,2913606,Apartamento,100 anos ou mais,Preta,
2022,2913606,Apartamento,10 a 14 anos,Indígena,21
2022,2913606,Apartamento,90 a 94 anos,Branca,21
2022,2913606,Apartamento,50 a 54 anos,Branca,415
2022,2913606,Apartamento,75 a 79 anos,Preta,36
2022,2913606,Apartamento,60 a 64 anos,Indígena,22
2022,2913606,Apartamento,85 a 89 anos,Branca,58
2022,2913606,Casa de vila ou em condomínio,30 a 34 anos,Branca,40
2022,2913606,Casa de vila ou em condomínio,100 anos ou mais,Indígena,
2022,2913606,Casa de vila ou em condomínio,45 a 49 anos,Amarela,
2022,2913606,Casa de vila ou em condomínio,25 a 29 anos,Branca,44
2022,2913606,Casa de vila ou em condomínio,70 a 74 anos,Indígena,
2022,2913606,Casa de vila ou em condomínio,30 a 34 anos,Preta,37
2022,2913606,Habitação em casa de cômodos ou cortiço,55 a 59 anos,Branca,1
2022,2913606,Habitação em casa de cômodos ou cortiço,70 a 74 anos,Preta,3
2022,2913606,Habitação em casa de cômodos ou cortiço,30 a 34 anos,Parda,22
2022,2913606,Habitação em casa de cômodos ou cortiço,15 a 19 anos,Indígena,1
2022,2913606,Habitação em casa de cômodos ou cortiço,15 a 19 anos,Parda,27
2022,2913606,Habitação em casa de cômodos ou cortiço,25 a 29 anos,Amarela,1
2022,2913606,Habitação em casa de cômodos ou cortiço,30 a 34 anos,Branca,5
2022,2913606,Habitação em casa de cômodos ou cortiço,30 a 34 anos,Amarela,
2022,2913606,Habitação em casa de cômodos ou cortiço,20 a 24 anos,Branca,2
2022,2913606,Habitação em casa de cômodos ou cortiço,70 a 74 anos,Amarela,
2022,2913606,Habitação em casa de cômodos ou cortiço,65 a 69 anos,Parda,5
2022,2913606,Habitação em casa de cômodos ou cortiço,0 a 4 anos,Branca,6
2022,2913606,Habitação em casa de cômodos ou cortiço,85 a 89 anos,Indígena,
2022,2913606,Habitação em casa de cômodos ou cortiço,15 a 19 anos,Amarela,
2022,2913606,Habitação indígena sem paredes ou maloca,40 a 44 anos,Branca,
2022,2913606,Habitação indígena sem paredes ou maloca,80 a 84 anos,Parda,
2022,2913606,Habitação indígena sem paredes ou maloca,15 a 19 anos,Preta,
2022,2913606,Habitação indígena sem paredes ou maloca,65 a 69 anos,Indígena,
2022,2913606,Habitação indígena sem paredes ou maloca,85 a 89 anos,Indígena,
2022,2913606,Habitação indígena sem paredes ou maloca,90 a 94 anos,Branca,
2022,2913606,Habitação indígena sem paredes ou maloca,60 a 64 anos,Preta,
2022,2913606,Habitação indígena sem paredes ou maloca,70 a 74 anos,Amarela,
2022,2913606,Habitação indígena sem paredes ou maloca,50 a 54 anos,Parda,
2022,2913606,Habitação indígena sem paredes ou maloca,0 a 4 anos,Amarela,
2022,2913606,Habitação indígena sem paredes ou maloca,20 a 24 anos,Branca,
2022,2913606,Habitação indígena sem paredes ou maloca,40 a 44 anos,Indígena,
2022,2913606,Habitação indígena sem paredes ou maloca,90 a 94 anos,Indígena,
2022,2913606,Habitação indígena sem paredes ou maloca,90 a 94 anos,Parda,
2022,2913606,Habitação indígena sem paredes ou maloca,20 a 24 anos,Preta,
2022,2913606,Habitação indígena sem paredes ou maloca,5 a 9 anos,Parda,
2022,2913606,Habitação indígena sem paredes ou maloca,10 a 14 anos,Parda,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,70 a 74 anos,Indígena,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,65 a 69 anos,Parda,1
2022,2913606,Estrutura residencial permanente degradada ou inacabada,95 a 99 anos,Preta,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,85 a 89 anos,Parda,
