ano,id_municipio,grupo_idade,sexo,cor_raca,populacao_residente
2010,2913606,75 a 79 anos,Mulheres,Amarela,8
2010,2913606,75 a 79 anos,Homens,Amarela,11
2022,2913606,75 a 79 anos,Mulheres,Preta,315
2010,2913606,75 a 79 anos,Mulheres,Branca,389
2010,2913606,75 a 79 anos,Homens,Preta,188
2022,2913606,75 a 79 anos,Homens,Parda,728
2022,2913606,80 a 84 anos,Homens,Indígena,26
2010,2913606,80 a 84 anos,Mulheres,Preta,152
2010,2913606,80 a 84 anos,Homens,Branca,169
2010,2913606,85 a 89 anos,Mulheres,Amarela,2
2010,2913606,85 a 89 anos,Mulheres,Indígena,6
2010,2913606,85 a 89 anos,Homens,Preta,61
2022,2913606,85 a 89 anos,Homens,Branca,102
2022,2913606,85 a 89 anos,Homens,Preta,107
2010,2913606,85 a 89 anos,Mulheres,Branca,147
2010,2913606,90 a 94 anos,Homens,Amarela,
2022,2913606,90 a 94 anos,Mulheres,Amarela,1
2022,2913606,90 a 94 anos,Mulheres,Indígena,9
2010,2913606,90 a 94 anos,Homens,Branca,31
2022,2913606,90 a 94 anos,Homens,Preta,40
2022,2913606,90 a 94 anos,Homens,Branca,44
2022,2913606,90 a 94 anos,Mulheres,Parda,180
2022,2913606,95 a 99 anos,Homens,Amarela,
2010,2913606,95 a 99 anos,Homens,Branca,7
2022,2913606,100 anos ou mais,Mulheres,Branca,4
2010,2913606,100 anos ou mais,Mulheres,Branca,8
2022,2913606,0 a 4 anos,Homens,Indígena,309
2022,2913606,0 a 4 anos,Homens,Branca,1078
2022,2913606,0 a 4 anos,Mulheres,Parda,2958
2010,2913606,0 a 4 anos,Mulheres,Indígena,170
2022,2913606,5 a 9 anos,Mulheres,Preta,1069
2022,2913606,5 a 9 anos,Mulheres,Indígena,331
2010,2913606,5 a 9 anos,Homens,Preta,1360
2010,2913606,5 a 9 anos,Homens,Branca,1406
2022,2913606,10 a 14 anos,Mulheres,Branca,891
2010,2913606,15 a 19 anos,Mulheres,Amarela,91
2010,2913606,15 a 19 anos,Homens,Branca,1396
2010,2913606,15 a 19 anos,Homens,Indígena,184
2022,2913606,20 a 24 anos,Mulheres,Branca,1095
2022,2913606,25 a 29 anos,Homens,Parda,3097
2022,2913606,30 a 34 anos,Mulheres,Indígena,260
2022,2913606,30 a 34 anos,Mulheres,Amarela,8
2010,2913606,30 a 34 anos,Homens,Amarela,74
2010,2913606,30 a 34 anos,Homens,Indígena,132
2010,2913606,30 a 34 anos,Homens,Parda,4085
2022,2913606,35 a 39 anos,Homens,Indígena,293
2010,2913606,35 a 39 anos,Homens,Branca,1081
2022,2913606,35 a 39 anos,Mulheres,Parda,4210
2022,2913606,40 a 44 anos,Homens,Indígena,296
2022,2913606,40 a 44 anos,Homens,Preta,1901
