ano,id_municipio,tipo_destino_lixo,grupo_idade,cor_raca,moradores
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",55 a 59 anos,Amarela,
2022,2913606,Coletado,85 a 89 anos,Amarela,1
2022,2913606,Coletado,65 a 69 anos,Amarela,9
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",10 a 14 anos,Indígena,19
2022,2913606,Queimado na propriedade,50 a 54 anos,Indígena,140
2022,2913606,Queimado na propriedade,95 a 99 anos,Indígena,2
2022,2913606,Coletado no domicílio por serviço de limpeza,5 a 9 anos,Indígena,213
2022,2913606,Coletado,15 a 19 anos,Indígena,305
2022,2913606,Outro destino,35 a 39 anos,Indígena,4
2022,2913606,Outro destino,15 a 19 anos,Indígena,1
2022,2913606,Depositado em caçamba de serviço de limpeza,70 a 74 anos,Indígena,21
2022,2913606,Coletado no domicílio por serviço de limpeza,0 a 4 anos,Indígena,178
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",30 a 34 anos,Indígena,20
2022,2913606,Depositado em caçamba de serviço de limpeza,40 a 44 anos,Indígena,94
2022,2913606,Outro destino,85 a 89 anos,Indígena,
2022,2913606,Coletado no domicílio por serviço de limpeza,50 a 54 anos,Indígena,178
2022,2913606,Queimado na propriedade,0 a 4 anos,Indígena,331
2022,2913606,Depositado em caçamba de serviço de limpeza,25 a 29 anos,Indígena,77
2022,2913606,Coletado,15 a 19 anos,Preta,2754
2022,2913606,Coletado,15 a 19 anos,Branca,1972
2022,2913606,Coletado,15 a 19 anos,Amarela,20
2022,2913606,Coletado,30 a 34 anos,Branca,1842
2022,2913606,Coletado,45 a 49 anos,Parda,6227
2022,2913606,Coletado,55 a 59 anos,Parda,5282
2022,2913606,Coletado,65 a 69 anos,Parda,3635
2022,2913606,Coletado,70 a 74 anos,Branca,1065
2022,2913606,Coletado,75 a 79 anos,Branca,706
2022,2913606,Coletado,80 a 84 anos,Preta,407
2022,2913606,Outro destino,0 a 4 anos,Amarela,
2022,2913606,Outro destino,30 a 34 anos,Parda,50
2022,2913606,Outro destino,40 a 44 anos,Parda,71
2022,2913606,Outro destino,45 a 49 anos,Branca,20
2022,2913606,Outro destino,75 a 79 anos,Amarela,
2022,2913606,Queimado na propriedade,30 a 34 anos,Amarela,
2022,2913606,Queimado na propriedade,35 a 39 anos,Amarela,4
2022,2913606,Queimado na propriedade,50 a 54 anos,Parda,460
2022,2913606,Queimado na propriedade,55 a 59 anos,Branca,72
2022,2913606,Queimado na propriedade,55 a 59 anos,Indígena,154
2022,2913606,Queimado na propriedade,90 a 94 anos,Preta,3
2022,2913606,Queimado na propriedade,100 anos ou mais,Preta,2
2022,2913606,Enterrado na propriedade,0 a 4 anos,Parda,12
2022,2913606,Enterrado na propriedade,15 a 19 anos,Indígena,3
2022,2913606,Enterrado na propriedade,40 a 44 anos,Preta,5
2022,2913606,Enterrado na propriedade,40 a 44 anos,Indígena,2
2022,2913606,Enterrado na propriedade,45 a 49 anos,Amarela,
2022,2913606,Enterrado na propriedade,55 a 59 anos,Preta,4
2022,2913606,Enterrado na propriedade,60 a 64 anos,Branca,
2022,2913606,Enterrado na propriedade,65 a 69 anos,Preta,6
2022,2913606,Enterrado na propriedade,70 a 74 anos,Parda,8
2022,2913606,Enterrado na propriedade,70 a 74 anos,Preta,1
2022,2913606,Enterrado na propriedade,75 a 79 anos,Branca,3
2022,2913606,Enterrado na propriedade,75 a 79 anos,Indígena,1
2022,2913606,Enterrado na propriedade,80 a 84 anos,Parda,1
2022,2913606,Enterrado na propriedade,95 a 99 anos,Amarela,
2022,2913606,Depositado em caçamba de serviço de limpeza,0 a 4 anos,Parda,1325
2022,2913606,Depositado em caçamba de serviço de limpeza,0 a 4 anos,Preta,424
2022,2913606,Depositado em caçamba de serviço de limpeza,5 a 9 anos,Indígena,103
2022,2913606,Depositado em caçamba de serviço de limpeza,50 a 54 anos,Indígena,65
2022,2913606,Depositado em caçamba de serviço de limpeza,60 a 64 anos,Preta,382
2022,2913606,Depositado em caçamba de serviço de limpeza,60 a 64 anos,Branca,229
2022,2913606,Depositado em caçamba de serviço de limpeza,70 a 74 anos,Preta,184
2022,2913606,Depositado em caçamba de serviço de limpeza,85 a 89 anos,Preta,53
2022,2913606,Depositado em caçamba de serviço de limpeza,85 a 89 anos,Parda,89
2022,2913606,Depositado em caçamba de serviço de limpeza,100 anos ou mais,Branca,4
2022,2913606,Coletado no domicílio por serviço de limpeza,10 a 14 anos,Branca,1475
2022,2913606,Coletado no domicílio por serviço de limpeza,55 a 59 anos,Branca,1443
