id_municipio,populacao_residente,area_unidade_territorial
1714880,10367,1568
5002159,8567,2592
2203453,9159,3872
2805109,7396,33
4311627,6248,33
4112801,11945,289
4322806,24021,289
2411601,3304,289
2310258,32216,289
4208203,264054,289
2201929,5913,289
4107553,3039,289
3534757,10294,289
3547601,23411,289
4212056,2561,289
2102408,10121,545
2108702,21886,545
2932408,13432,545
2307106,27411,545
2108306,32511,801
4127403,18119,801
2204907,7774,801
2207777,5425,801
4202602,8418,1057
2611002,34161,1057
5005152,6729,1569
3108503,5790,1569
2914000,56876,3105
4318002,59676,3617
1502806,33903,3617
1600055,4673,7713
5108907,5846,11553
2209450,2138,34
3533106,2156,34
3539608,4389,290
1720309,4100,290
2412203,47286,290
2611804,33507,290
2928950,8426,290
2931608,15332,290
4313201,23300,290
3509700,46974,290
3140308,4592,546
4117271,6848,546
3519709,75605,1058
3140506,14003,1058
1100031,5351,1314
2924306,20086,1826
3522406,89728,1826
4317103,84421,6946
1400233,10656,12066
4202453,25058,35
4319356,3548,35
3510609,386984,35
3140159,15900,35
3556503,115771,35
4300877,8525,35
3305109,440962,35
4309506,7415,291
2500775,7960,291
3511102,115791,291
2210300,6025,291
4103370,3708,291
3519303,32178,291
3302056,14073,291
3136504,10304,547
3151800,163742,547
3300407,169894,547
3519105,10437,547
3533908,55074,803
5221452,3120,803
1501402,1303403,1059
3171030,7672,1571
2306702,17232,1827
5002001,10712,1827
5210802,4380,2083
5200605,10306,2595
5002100,21613,4899
1702000,8133,5155
1300029,15866,5923
1304260,14431,10275
3544103,44170,36
2800100,2170,36
2501203,7128,36
3304102,17288,292
2604908,15920,292
4309902,6776,292
3143401,24089,292
3534302,38319,292
2112233,22484,292
4300059,3912,292
4120002,11624,292
3162203,7652,548
3535309,19594,548
2916856,15737,548
3205002,520653,548
3135506,12419,548
4308656,2688,804
2923001,39509,1316
3154507,8756,1316
2206704,6665,1316
1508100,91306,2084
3143500,9067,2084
3142809,20170,2596
5208905,24071,3108
1505700,24984,3364
1100320,21635,7460
2509339,4571,37
2907004,8365,293
3520202,10605,293
3149309,62580,293
4117453,6785,293
2516904,14930,293
4312377,3180,549
2106409,17090,549
4205506,33481,549
2922706,13715,805
2100873,11181,805
1504406,26573,805
2205599,4520,805
4321105,14695,805
3138625,8687,1317
5007307,4841,1829
2930154,34222,2341
5205307,9583,6949
1600204,10612,14117
2706208,4325,38
2414902,1822,38
4219705,31918,294
2901700,11146,294
3103751,8479,294
2707701,93927,294
4114104,31457,294
4209805,3330,294
3129004,7778,294
4314555,2260,294
