id_municipio,forma_declaracao_idade,sexo,idade,idade_anos,grupo_idade,populacao_residente
2913606,Idade presumida,Mulheres,80 anos,80.0,80 a 84 anos,84
2913606,Data de nascimento,Homens,81 anos,81.0,80 a 84 anos,142
2913606,Idade presumida,Mulheres,83 anos,83.0,80 a 84 anos,56
2913606,Idade presumida,Homens,84 anos,84.0,80 a 84 anos,38
2913606,Data de nascimento,Mulheres,85 anos,85.0,85 a 89 anos,140
2913606,Data de nascimento,Mulheres,86 anos,86.0,85 a 89 anos,147
2913606,Data de nascimento,Mulheres,10 meses,0.0,0 a 4 anos,61
2913606,Data de nascimento,Homens,11 meses,0.083333333333333329,0 a 4 anos,73
2913606,Data de nascimento,Mulheres,Menos de 1 mês,0.0,0 a 4 anos,71
2913606,Idade presumida,Mulheres,Menos de 1 mês,0.0,0 a 4 anos,
2913606,Idade presumida,Homens,5 meses,0.41666666666666669,0 a 4 anos,5
2913606,Idade presumida,Homens,8 meses,0.66666666666666663,0 a 4 anos,7
2913606,Idade presumida,Homens,96 anos,96.0,95 a 99 anos,7
2913606,Data de nascimento,Homens,98 anos,98.0,95 a 99 anos,7
2913606,Idade presumida,Homens,7 meses,0.58333333333333337,0 a 4 anos,9
2913606,Idade presumida,Mulheres,7 meses,0.58333333333333337,0 a 4 anos,10
2913606,Data de nascimento,Mulheres,97 anos,97.0,95 a 99 anos,13
2913606,Data de nascimento,Mulheres,98 anos,98.0,95 a 99 anos,13
2913606,Idade presumida,Homens,90 anos,90.0,90 a 94 anos,14
2913606,Idade presumida,Mulheres,93 anos,93.0,90 a 94 anos,18
2913606,Data de nascimento,Mulheres,96 anos,96.0,95 a 99 anos,18
2913606,Idade presumida,Homens,87 anos,87.0,85 a 89 anos,26
2913606,Data de nascimento,Homens,1 ano,1.0,0 a 4 anos,848
2913606,Data de nascimento,Homens,3 anos,3.0,0 a 4 anos,1003
2913606,Idade presumida,Homens,3 anos,3.0,0 a 4 anos,181
2913606,Data de nascimento,Homens,4 anos,4.0,0 a 4 anos,968
2913606,Idade presumida,Homens,7 anos,7.0,5 a 9 anos,248
2913606,Idade presumida,Homens,8 anos,8.0,5 a 9 anos,239
2913606,Idade presumida,Mulheres,8 anos,8.0,5 a 9 anos,197
2913606,Idade presumida,Mulheres,9 anos,9.0,5 a 9 anos,246
2913606,Data de nascimento,Homens,16 anos,16.0,15 a 19 anos,1036
2913606,Idade presumida,Mulheres,18 anos,18.0,15 a 19 anos,283
2913606,Data de nascimento,Homens,22 anos,22.0,20 a 24 anos,1046
2913606,Idade presumida,Mulheres,22 anos,22.0,20 a 24 anos,224
2913606,Data de nascimento,Homens,23 anos,23.0,20 a 24 anos,992
2913606,Data de nascimento,Homens,24 anos,24.0,20 a 24 anos,882
2913606,Idade presumida,Homens,25 anos,25.0,25 a 29 anos,275
2913606,Idade presumida,Mulheres,26 anos,26.0,25 a 29 anos,209
2913606,Idade presumida,Mulheres,27 anos,27.0,25 a 29 anos,210
2913606,Idade presumida,Mulheres,29 anos,29.0,25 a 29 anos,158
2913606,Idade presumida,Mulheres,30 anos,30.0,30 a 34 anos,289
2913606,Idade presumida,Homens,31 anos,31.0,30 a 34 anos,167
2913606,Data de nascimento,Homens,31 anos,31.0,30 a 34 anos,849
2913606,Idade presumida,Mulheres,31 anos,31.0,30 a 34 anos,141
2913606,Idade presumida,Mulheres,33 anos,33.0,30 a 34 anos,232
2913606,Idade presumida,Homens,34 anos,34.0,30 a 34 anos,232
2913606,Data de nascimento,Mulheres,35 anos,35.0,35 a 39 anos,1207
2913606,Data de nascimento,Mulheres,36 anos,36.0,35 a 39 anos,1262
2913606,Idade presumida,Mulheres,37 anos,37.0,35 a 39 anos,234
2913606,Idade presumida,Homens,39 anos,39.0,35 a 39 anos,250
2913606,Data de nascimento,Mulheres,41 anos,41.0,40 a 44 anos,1403
2913606,Data de nascimento,Homens,42 anos,42.0,40 a 44 anos,1145
2913606,Idade presumida,Mulheres,45 anos,45.0,45 a 49 anos,288
2913606,Data de nascimento,Mulheres,47 anos,47.0,45 a 49 anos,1077
2913606,Data de nascimento,Mulheres,48 anos,48.0,45 a 49 anos,1024
2913606,Idade presumida,Mulheres,50 anos,50.0,50 a 54 anos,296
2913606,Idade presumida,Mulheres,52 anos,52.0,50 a 54 anos,198
2913606,Data de nascimento,Mulheres,53 anos,53.0,50 a 54 anos,1057
2913606,Data de nascimento,Homens,55 anos,55.0,55 a 59 anos,781
2913606,Data de nascimento,Mulheres,57 anos,57.0,55 a 59 anos,902
2913606,Data de nascimento,Homens,6 meses,0.5,0 a 4 anos,71
2913606,Data de nascimento,Mulheres,65 anos,65.0,65 a 69 anos,699
2913606,Data de nascimento,Homens,66 anos,66.0,65 a 69 anos,573
2913606,Idade presumida,Homens,67 anos,67.0,65 a 69 anos,116
2913606,Idade presumida,Mulheres,68 anos,68.0,65 a 69 anos,120
2913606,Data de nascimento,Mulheres,69 anos,69.0,65 a 69 anos,571
