ano,id_municipio,tipo_ligacao_rede_geral,grupo_idade,cor_raca,moradores
2022,2913606,Não possui ligação com a rede geral - Outra,70 a 74 anos,Indígena,
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",70 a 74 anos,Indígena,23
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",70 a 74 anos,Indígena,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Água da chuva armazenada",70 a 74 anos,Indígena,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",70 a 74 anos,Indígena,
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",75 a 79 anos,Amarela,
2022,2913606,Não possui ligação com a rede geral - Poço profundo ou artesiano,80 a 84 anos,Preta,21
2022,2913606,Não possui ligação com a rede geral - Poço profundo ou artesiano,80 a 84 anos,Branca,27
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",80 a 84 anos,Preta,13
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",80 a 84 anos,Parda,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",80 a 84 anos,Indígena,
2022,2913606,Não possui ligação com a rede geral,85 a 89 anos,Parda,61
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",85 a 89 anos,Branca,5
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma",85 a 89 anos,Branca,8
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",85 a 89 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",85 a 89 anos,Indígena,4
2022,2913606,Não possui ligação com a rede geral,90 a 94 anos,Amarela,
2022,2913606,Não possui ligação com a rede geral,90 a 94 anos,Branca,12
2022,2913606,Não possui ligação com a rede geral,90 a 94 anos,Preta,8
2022,2913606,Não possui ligação com a rede geral - Outra,90 a 94 anos,Indígena,
2022,2913606,Não possui ligação com a rede geral - Poço profundo ou artesiano,90 a 94 anos,Indígena,3
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma",90 a 94 anos,Preta,3
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",90 a 94 anos,Preta,
2022,2913606,Não possui ligação com a rede geral,95 a 99 anos,Parda,17
2022,2913606,Não possui ligação com a rede geral - Outra,95 a 99 anos,Parda,2
2022,2913606,Não possui ligação com a rede geral - Poço profundo ou artesiano,95 a 99 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma",95 a 99 anos,Indígena,
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",95 a 99 anos,Branca,1
2022,2913606,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés",100 anos ou mais,Branca,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",100 anos ou mais,Preta,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",100 anos ou mais,Parda,1
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",100 anos ou mais,Preta,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Água da chuva armazenada",0 a 4 anos,Indígena,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",0 a 4 anos,Branca,30
2022,2913606,Não possui ligação com a rede geral,5 a 9 anos,Amarela,3
2022,2913606,Não possui ligação com a rede geral - Carro-pipa,5 a 9 anos,Amarela,
2022,2913606,Não possui ligação com a rede geral - Água da chuva armazenada,5 a 9 anos,Parda,17
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",5 a 9 anos,Preta,56
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",10 a 14 anos,Branca,31
2022,2913606,Não possui ligação com a rede geral - Poço profundo ou artesiano,10 a 14 anos,Branca,98
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa",10 a 14 anos,Branca,
2022,2913606,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés",10 a 14 anos,Indígena,78
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",10 a 14 anos,Indígena,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",10 a 14 anos,Parda,139
2022,2913606,Não possui ligação com a rede geral - Outra,15 a 19 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",15 a 19 anos,Indígena,
2022,2913606,Não possui ligação com a rede geral - Água da chuva armazenada,20 a 24 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma",20 a 24 anos,Indígena,32
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",20 a 24 anos,Parda,125
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa",20 a 24 anos,Branca,
2022,2913606,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés",20 a 24 anos,Branca,21
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",20 a 24 anos,Indígena,30
2022,2913606,Não possui ligação com a rede geral - Outra,25 a 29 anos,Branca,8
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma",25 a 29 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",25 a 29 anos,Branca,3
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",25 a 29 anos,Branca,4
2022,2913606,Não possui ligação com a rede geral - Outra,30 a 34 anos,Amarela,
2022,2913606,Possui ligação à rede geral e a utiliza como forma principal,30 a 34 anos,Amarela,15
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",30 a 34 anos,Branca,2
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa",30 a 34 anos,Branca,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",30 a 34 anos,Parda,163
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",30 a 34 anos,Parda,5
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",30 a 34 anos,Amarela,
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",35 a 39 anos,Branca,30
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",35 a 39 anos,Parda,14
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",35 a 39 anos,Indígena,1
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",35 a 39 anos,Parda,7
2022,2913606,Não possui ligação com a rede geral - Água da chuva armazenada,40 a 44 anos,Preta,6
2022,2913606,Não possui ligação com a rede geral - Água da chuva armazenada,40 a 44 anos,Indígena,4
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",40 a 44 anos,Amarela,
2022,2913606,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés",40 a 44 anos,Parda,143
2022,2913606,Não possui ligação com a rede geral - Outra,45 a 49 anos,Branca,9
2022,2913606,Não possui ligação com a rede geral - Água da chuva armazenada,45 a 49 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",45 a 49 anos,Parda,3
2022,2913606,Não possui ligação com a rede geral - Poço profundo ou artesiano,50 a 54 anos,Preta,181
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa",50 a 54 anos,Parda,
2022,2913606,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés",50 a 54 anos,Parda,145
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",50 a 54 anos,Branca,38
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",50 a 54 anos,Branca,
2022,2913606,Possui ligação à rede geral e a utiliza como forma principal,55 a 59 anos,Parda,4841
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",55 a 59 anos,Branca,36
2022,2913606,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés",55 a 59 anos,Branca,36
2022,2913606,Não possui ligação com a rede geral,60 a 64 anos,Branca,188
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",60 a 64 anos,Preta,47
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",60 a 64 anos,Indígena,
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",65 a 69 anos,Branca,26
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",65 a 69 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",65 a 69 anos,Amarela,2
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",65 a 69 anos,Indígena,1
2022,2913606,Não possui ligação com a rede geral - Poço profundo ou artesiano,70 a 74 anos,Parda,170
2022,2913606,Não possui ligação com a rede geral - Poço profundo ou artesiano,70 a 74 anos,Indígena,19
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",70 a 74 anos,Preta,29
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",70 a 74 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",70 a 74 anos,Parda,1
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",70 a 74 anos,Parda,2
2022,2913606,Não possui ligação com a rede geral - Outra,75 a 79 anos,Indígena,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",75 a 79 anos,Preta,1
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",75 a 79 anos,Parda,
2022,2913606,Não possui ligação com a rede geral,80 a 84 anos,Preta,58
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",80 a 84 anos,Indígena,13
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa",80 a 84 anos,Indígena,
